module,distinct_receivernodes,recievers_overall,bars_remaining,jumps,groundnode_utilization,num_alternative_startnodes,mapping_name,filenamestr
4,6,6,2,0,1,0,mapping_316,possible_mappings_2016/160810_5/M4_R6_6_B2_J0_G1_225607_A0_mapping_316.json
4,6,6,3,0,2,0,mapping_611,possible_mappings_2016/160810_5/M4_R6_6_B3_J0_G2_225608_A0_mapping_611.json
5,6,6,2,0,1,0,mapping_34,possible_mappings_2016/160810_5/M5_R6_6_B2_J0_G1_225608_A0_mapping_34.json
5,6,6,3,0,1,0,mapping_80,possible_mappings_2016/160810_5/M5_R6_6_B3_J0_G1_225608_A0_mapping_80.json
5,6,6,3,0,1,0,mapping_170,possible_mappings_2016/160810_5/M5_R6_6_B3_J0_G1_225608_A0_mapping_170.json
5,6,6,3,0,1,0,mapping_215,possible_mappings_2016/160810_5/M5_R6_6_B3_J0_G1_225608_A0_mapping_215.json
5,6,6,3,0,1,0,mapping_232,possible_mappings_2016/160810_5/M5_R6_6_B3_J0_G1_225608_A0_mapping_232.json
5,6,6,1,0,0,0,mapping_343,possible_mappings_2016/160810_5/M5_R6_6_B1_J0_G0_225609_A0_mapping_343.json
5,6,6,3,0,0,0,mapping_563,possible_mappings_2016/160810_5/M5_R6_6_B3_J0_G0_225609_A0_mapping_563.json
5,6,6,2,0,1,0,mapping_571,possible_mappings_2016/160810_5/M5_R6_6_B2_J0_G1_225609_A0_mapping_571.json
5,6,6,1,0,1,0,mapping_617,possible_mappings_2016/160810_5/M5_R6_6_B1_J0_G1_225609_A0_mapping_617.json
5,6,6,3,0,0,0,mapping_710,possible_mappings_2016/160810_5/M5_R6_6_B3_J0_G0_225609_A0_mapping_710.json
5,6,6,3,0,0,0,mapping_754,possible_mappings_2016/160810_5/M5_R6_6_B3_J0_G0_225609_A0_mapping_754.json
5,6,6,3,0,1,0,mapping_818,possible_mappings_2016/160810_5/M5_R6_6_B3_J0_G1_225609_A0_mapping_818.json
6,6,6,3,0,1,0,mapping_380,possible_mappings_2016/160810_5/M6_R6_6_B3_J0_G1_225610_A0_mapping_380.json
6,6,6,3,0,0,0,mapping_418,possible_mappings_2016/160810_5/M6_R6_6_B3_J0_G0_225610_A0_mapping_418.json
6,6,6,3,0,1,0,mapping_605,possible_mappings_2016/160810_5/M6_R6_6_B3_J0_G1_225610_A0_mapping_605.json
6,6,6,2,0,2,0,mapping_810,possible_mappings_2016/160810_5/M6_R6_6_B2_J0_G2_225610_A0_mapping_810.json
6,6,6,3,0,1,0,mapping_947,possible_mappings_2016/160810_5/M6_R6_6_B3_J0_G1_225610_A0_mapping_947.json
